cpu,l2_size_kib,l2_assoc,l3_size_mib,l3_assoc,sim_ticks,sim_insts,l2_miss_rate,l3_miss_rate
timing,512,4,1,8,978000084000,305769008,0.351769,0.705563
timing,512,4,1,16,978537336000,305769008,0.351769,0.738284
timing,512,4,2,8,970015703000,305769008,0.351769,0.275278
timing,512,4,2,16,970506091000,305769008,0.351769,0.300718
o3,512,4,1,8,143552496000,305769008,0.354577,0.705698
o3,512,4,1,16,143641548000,305769008,0.354583,0.738405
o3,512,4,2,8,143282605000,305769008,0.354051,0.275894
o3,512,4,2,16,143705274000,305769008,0.354048,0.301315
